AX,AY,AZ
-0.04,-0.30,0.96
-0.03,-0.30,0.97
-0.05,-0.31,0.98
-0.06,-0.30,0.99
-0.04,-0.30,0.99
-0.03,-0.30,0.98
-0.00,-0.30,0.94
-0.01,-0.31,0.93
-0.03,-0.31,0.99
-0.04,-0.31,0.98
-0.06,-0.30,0.97
-0.08,-0.31,0.99
-0.05,-0.31,0.98
-0.04,-0.31,0.95
-0.03,-0.31,0.94
-0.02,-0.32,0.99
-0.03,-0.31,0.97
-0.04,-0.31,0.97
-0.04,-0.31,1.01
-0.04,-0.30,1.01
-0.03,-0.30,1.01
-0.05,-0.30,1.03
-0.07,-0.29,1.04
-0.02,-0.30,1.07
0.02,-0.30,1.14
0.03,-0.30,1.23
-0.02,-0.30,1.35
-0.05,-0.28,1.47
-0.07,-0.28,1.58
-0.06,-0.30,1.74
0.03,-0.31,1.85
0.12,-0.32,1.90
0.17,-0.27,1.80
0.28,-0.44,1.83
0.14,-0.29,1.61
0.13,-0.32,1.54
0.08,-0.32,1.56
0.05,-0.32,1.49
0.11,-0.33,1.44
0.13,-0.34,1.39
0.09,-0.35,1.35
0.01,-0.35,1.30
-0.05,-0.36,1.39
-0.06,-0.38,1.35
0.03,-0.39,1.23
0.12,-0.38,1.07
0.10,-0.39,0.92
0.04,-0.40,0.80
0.04,-0.41,0.74
0.11,-0.42,0.77
0.08,-0.44,0.87
0.01,-0.43,0.78
-0.14,-0.43,0.74
-0.13,-0.43,0.68
-0.04,-0.41,0.48
-0.02,-0.43,0.35
-0.01,-0.44,0.38
-0.03,-0.45,0.50
-0.02,-0.47,0.45
0.04,-0.46,0.29
0.09,-0.46,0.21
0.09,-0.48,0.19
0.14,-0.46,0.09
0.13,-0.45,0.03
0.04,-0.45,0.01
-0.09,-0.45,-0.04
-0.16,-0.47,-0.00
-0.10,-0.46,-0.07
0.02,-0.42,-0.28
0.10,-0.41,-0.50
0.05,-0.41,-0.63
-0.09,-0.43,-0.56
-0.10,-0.42,-0.60
-0.11,-0.44,-0.70
-0.15,-0.43,-0.78
-0.23,-0.44,-0.81
-0.27,-0.43,-0.93
-0.24,-0.42,-1.10
-0.27,-0.40,-1.14
-0.37,-0.41,-1.17
-0.40,-0.39,-1.26
-0.40,-0.38,-1.39
-0.42,-0.41,-1.43
-0.45,-0.43,-1.39
-0.46,-0.45,-1.32
-0.46,-0.49,-1.25
-0.46,-0.52,-1.16
-0.44,-0.56,-1.07
-0.41,-0.59,-1.01
-0.41,-0.61,-0.89
-0.39,-0.63,-0.87
-0.38,-0.64,-0.91
-0.39,-0.64,-0.91
-0.35,-0.63,-0.90
-0.31,-0.62,-0.93
-0.27,-0.60,-1.00
-0.26,-0.58,-1.02
-0.27,-0.57,-1.04
-0.30,-0.56,-1.08
-0.29,-0.54,-1.09
-0.27,-0.54,-1.05
-0.24,-0.53,-1.05
