AX,AY,AZ
-1.09,-0.04,-0.27
-1.02,0.04,-0.27
-0.88,0.15,-0.30
-0.65,0.35,-0.41
-0.16,0.56,-0.72
0.62,0.69,-1.15
1.54,0.69,-1.52
2.32,0.47,-1.71
2.66,0.32,-1.64
2.41,0.09,-1.46
1.60,0.12,-1.30
1.06,0.14,-1.30
1.10,0.07,-1.35
1.32,0.02,-1.35
1.34,-0.00,-1.28
1.23,-0.00,-1.21
1.02,0.01,-1.20
0.80,0.03,-1.20
0.63,0.04,-1.16
0.55,0.05,-1.11
0.49,0.04,-1.06
0.38,0.03,-1.06
0.23,0.02,-1.02
0.11,-0.01,-0.96
0.01,-0.03,-0.97
-0.07,-0.06,-0.97
-0.11,-0.08,-0.97
-0.10,-0.11,-0.96
-0.05,-0.14,-0.91
-0.01,-0.17,-0.88
-0.02,-0.18,-0.87
