AX,AY,AZ
1.53,1.13,-0.73
1.33,1.19,-1.15
1.36,1.22,-1.33
1.68,1.16,-1.33
1.99,1.05,-1.38
2.11,0.90,-1.45
2.13,0.44,-1.57
1.96,0.67,-1.45
1.91,0.53,-1.39
1.71,0.43,-1.33
1.34,0.37,-1.28
1.04,0.34,-1.14
0.93,0.29,-1.01
0.94,0.24,-0.93
0.96,0.13,-0.87
0.82,0.09,-0.91
0.59,0.07,-0.98
0.38,0.07,-1.00
0.29,0.06,-0.96
0.33,0.06,-0.91
0.42,0.06,-0.92
0.42,0.06,-0.97
0.35,0.06,-1.00
0.26,0.05,-1.02
0.22,0.04,-1.04
0.29,0.03,-1.03
0.38,-0.01,-0.98
0.33,-0.01,-0.96
0.21,-0.01,-0.94
0.11,-0.00,-0.95
0.09,-0.01,-0.97
0.13,-0.03,-0.98
0.15,-0.05,-0.99
0.14,-0.05,-0.98
0.11,-0.06,-0.97
0.13,-0.06,-0.90
0.18,-0.06,-0.85
0.21,-0.06,-0.91
0.21,-0.05,-1.00
0.18,-0.05,-1.04
0.15,-0.04,-1.01
0.13,-0.03,-0.99
0.15,-0.03,-0.99
0.17,-0.02,-0.99
0.19,-0.01,-0.97
0.22,-0.01,-0.94
0.26,-0.02,-0.94
0.31,-0.03,-0.95
0.33,-0.04,-0.99
0.28,-0.04,-1.05
0.23,-0.03,-1.08
0.19,-0.03,-1.05
0.17,-0.02,-0.97
0.19,-0.04,-0.86
0.19,-0.03,-0.85
0.19,-0.03,-0.90
0.20,-0.03,-0.96
0.22,-0.03,-0.98
0.22,-0.04,-0.98
0.21,-0.04,-0.95
0.19,-0.03,-0.91
0.16,-0.03,-0.90
0.12,-0.02,-0.92
0.11,-0.02,-0.95
0.13,-0.02,-0.96
0.16,-0.02,-0.95
0.19,-0.02,-0.94
0.21,-0.02,-0.95
0.21,-0.02,-0.96
0.20,-0.01,-0.98
0.20,-0.02,-1.00
0.19,-0.02,-1.00
0.16,-0.01,-0.98
0.17,-0.01,-0.97
0.21,-0.01,-0.95
0.25,-0.02,-0.95
0.26,-0.02,-0.98
0.25,-0.02,-1.01
0.24,-0.02,-1.02
0.27,-0.02,-1.00
0.26,-0.03,-0.94
0.22,-0.03,-0.93
0.20,-0.01,-0.95
0.21,-0.02,-0.93
0.23,-0.02,-0.90
0.23,-0.01,-0.90
0.27,0.00,-0.95
0.39,0.02,-0.97
0.51,0.02,-0.95
0.56,0.04,-0.95
0.58,0.09,-0.97
0.69,0.14,-0.98
0.89,0.18,-0.98
1.12,0.24,-1.03
1.38,0.32,-1.07
1.65,0.39,-1.10
1.84,0.51,-1.14
1.91,0.60,-1.28
1.93,0.66,-1.37
1.95,0.77,-1.33
1.99,0.85,-1.17
1.97,0.92,-1.02
1.81,0.99,-0.93
1.47,1.10,-0.91
1.13,1.23,-0.88
0.83,1.29,-0.75
0.49,1.28,-0.62
0.14,1.29,-0.58
-0.11,1.22,-0.52
-0.28,1.11,-0.39
-0.48,1.01,-0.29
-0.72,0.95,-0.27
-0.96,0.89,-0.30
-1.16,0.81,-0.37
-1.27,0.57,-0.70
-1.36,0.72,-0.71
-1.33,0.57,-0.80
-1.41,0.56,-0.98
-1.52,0.55,-1.21
-1.74,0.55,-1.19
-1.84,0.36,-1.03
-1.89,0.34,-1.07
-1.80,0.25,-1.14
-1.62,0.24,-1.00
-1.38,0.15,-0.97
-1.24,0.11,-1.06
-1.16,0.07,-1.06
-1.04,0.05,-0.97
-0.84,0.01,-0.90
-0.67,-0.04,-0.88
-0.64,-0.09,-0.86
-0.65,-0.09,-0.80
-0.62,-0.10,-0.73
-0.53,-0.11,-0.73
-0.40,-0.12,-0.81
-0.30,-0.13,-0.85
-0.29,-0.12,-0.85
